Страна ,Название сервиса,|,Тип сервиса (услуги),|,Регистрационный номер,|,Область применения,|,Тип технологии,|,Ключев. характеристики,|,Статус использования,|,Доступность,|,Научная база,|,,|,ПРИМЕЧАНИЕ ,Страна Разработчика
Египет ,Rology,|,"Платформа телерентгенологии, использующая ИИ для предварительного анализа (""приоритизации"") и распределения рентгеновских снимков по сети радиологов для окончательной диагностики.",|,"Египет: Зарегистрирована в качестве медицинского устройства местным регулятором (Egyptian Drug Authority, EDA).
Саудовская Аравия: Имеет разрешение SFDA.
ОАЭ: Прошла валидацию в MOHAP/DHA.",|,"КТ, Рентген",|,Компьютерное зрение,|," Гибридная модель ""ИИ + радиолог"": ИИ не ставит окончательный диагноз, а действует как система поддержки принятия решений (CADe), помечая снимки с подозрением на патологию.
Приоритизация: Автоматически помечает срочные случаи (например, пневмоторакс, ТБ) в начале очереди для ускорения диагностики.
Сеть радиологов: Распределяет исследования по специализированной сети врачей для быстрой расшифровки.
Фокус на доступность: Нацелена на обеспечение качественной радиологической диагностики в удаленных и недостаточно обслуживаемых регионах Ближнего Востока и Африки.",|,Используется,|,"Частные клиники, государственные больницы",|,новость 1: https://www.auntminnie.com/industry-news/regulatory/fda/article/15635577/rology-gets-fda-nod-for-teleradiology-platform 2) https://www.diagnosticimaging.com/view/fda-clears-emerging-ai-enabled-teleradiology-platform 3) https://www.auntminnie.com/practice-management/article/15705266/rology-marks-1m-report-milestone 4) https://www.startupresearcher.com/news/rology-partners-with-university-of-hyogo 5) https://rology.health/enhancing-patient-engagement-empowerment-through-teleradiology-ai/ ,|,,|,https://rology.health/ ,"Египет, Саудовская Аравия"
ЮАР,Botlhale AI (флагманский продукт - Botlhale Vision AI),|,"Платформа искусственного интеллекта для обработки естественного языка (NLP) и компьютерного зрения, предоставляющая ИИ-решения и API",|,Является коммерческим продуктом компании Botlhale AI (Pty) Ltd,|,Телемедицина,|,Компьютерное зрение,|,"- Фокус на африканских языках: Поддержка языков ЮАР (зулу, коса, африкаанс, сесото)
- Мультимодальность: Объединение NLP и Computer Vision
- API-первый подход: Интеграция ИИ-возможностей в сторонние приложения
- Автоматизация рутинных задач: Обработка документов, верификация данных",|,Используется,|,"Частные клиники, государственные больницы",|,,|,,|,https://botlhale.ai/ ,ЮАР
ЮАР,Limbus Cloud (разработан компанией Lincad),|,"Облачная телемедицинская платформа для удаленной диагностики и управления медицинскими изображениями, ориентированная на радиологию",|,Информация не разглашается публично. Является продуктом компании Lincad (Pty) Ltd.,|,Телемедицина,|,"Облачная программная платформа (SaaS - Программное обеспечение как услуга), веб-интерфейс.",|,"• DICOM-совместимость: Полная поддержка отраслевого стандарта для медицинских изображений.
• Веб-доступ: Не требует установки специального ПО на компьютер, работает через браузер.
• Инструменты для анализа: Встроенные инструменты для просмотра, измерения и аннотирования изображений (приближение, панорамирование, регулировка контрастности).
• Безопасность и соответствие: Данные шифруются, платформа разработана с учетом требований защиты персональных данных (например, POPI Act в ЮАР).
• Интеграция: Возможность интеграции с системами хранения и передачи изображений (PACS) и больничными информационными системами (HIS).",|,Используется,|,"Частные клиники, государственные больницы",|,"Limbus Cloud решает ключевую проблему африканского здравоохранения — нехватку радиологов, особенно в удаленных регионах, позволяя эффективно распределять экспертные кадры с помощью облачных технологий. ",|,,|,https://limbus.ai/ ,ЮАР
ЮАР,Vula Mobile,|,Мобильное медицинское приложение (mHealth) для телемедицины и клинической поддержки,|,Информация не разглашается публично. Является коммерческим продуктом компании Vula Mobile (Pty) Ltd.,|,Телемедицина,|,"Мобильное программное обеспечение (приложение для смартфонов), платформа для коммуникации и управления данными.",|,"• Защищенный обмен сообщениями и данными о пациентах.
• Интеграция с камерой телефона для захвата и передачи медицинских изображений (например, глазного дна, кожных поражений, рентгеновских снимков).
• Справочники и руководства по различным медицинским специальностям.
• Система направлений с отслеживанием статуса.
• Доступность без постоянного интернета (частично).
• Простой и интуитивно понятный интерфейс, адаптированный для условий с ограниченными ресурсами.",|,Используется,|,"Частные клиники, государственные больницы",|,,|,,|,https://www.vulamedical.com/stories#news-and-media ,ЮАР
Индонезия,Harrison.ai,|,AI-решение для радиологии и патологии,|,,|,"КТ, Рентген",|,Компьютерное зрение,|,"- Широкий охват патологий: Annalise CXR обнаруживает более 120 находок на рентгене грудной клетки
- Комплексность: Решения для различных модальностей (X-Ray, CT)
- Клиническая интеграция: Встраивается в рабочий процесс радиолога
- Подтвержденная точность: Результаты валидированы в клинических исследованиях",|,Пилотирование,|,По соглашению,|,,|,,|,https://harrison.ai/about-us/ ,Австралия
Индонезия,PT Teleradiologi Center Indonesia (TCI) ,|,Телерентген диагностические услуги,|,,|,Рентген грудной клетки,|,Компьютерное зрение,|,"Телерадиология, интеграция c PACS",|,Используется,|,"Частные клиники, государственные больницы",|,,|,,|,https://tcihealth.co.id/uploadfile/board/pdf_id/0a2posy1.pdf,Индонезия
Индонезия,Segen Medical Nasional,|,Дистрибуция медицинского оборудования и программного обеспечения (включая SaaS/SaMD) RIS/PACS решение с ИИ компонентами,|,,|,Телемедицина,|,AI-модули для оптимизации работы с изображениями,|,"1) Крупный дистрибьютор: Ключевой партнер для многих глобальных брендов на индонезийском рынке. 2) Локализация и поддержка: Обеспечивает локальную техническую поддержку, обучение и соблюдение регуляторных требований BPOM RI 3) Segen Medical Nasional — компания, занимающаяся дистрибуцией медицинского оборудования и устройств в Индонезии, таких как Enterprise RIS-PACS, телерадиологические системы, искусственный интеллект и другие цифровые решения для сферы здравоохранения. ",|,Используется,|,"Частные клиники, государственные больницы",|,,|,,|,https://www.segenmedicalnasional.com/pacs-distributor-terbaik-di-indonesia,Индонезия
Индонезия ,CAD4TB (Delft.care),|,SaaS (Software as a Medical Device - SaMD) / Решение для поддержки принятия решений (Clinical Decision Support),|,,|,Рентген грудной клетки,|,"Искусственный интеллект (ИИ), компьютерная диагностика (CAD)",|,"1) Узкоспециализированный фокус: Один из самых известных в мире ИИ-инструментов для скрининга туберкулеза.
2) Интеграция в мобильные клиники: Часто используется в составе мобильных рентген-установок для массового скрининга в труднодоступных районах.
3) Триаж и приоритизация: Помогает быстро идентифицировать пациентов с высокой вероятностью ТБ для дальнейшего тестирования (например, молекулярно-генетического).
4) Соответствие стандартам ВОЗ: Широко используется в глобальных программах по борьбе с туберкулезом.",|,Используется,|,"Частные клиники, государственные больницы",|,,|,,|,https://delft.care/indonesia/,Нидерланды
Индонезия,Mediplus Indonesia,|,Медицинские цифровые решения,|,,|,Лучевая диагностика,|,Интегрированные решения на базе ИИ,|,Локальный производитель и поставщик,|,Используется,|,"Частные клиники, государственные больницы",|,,|,,|,https://ensun.io/company/mediplus-indonesia-67aeb857edffe25e06d0af26,Индонезия
Россия ,Sciberia ,|, Комплекс программных модулей для анализа медицинских изображений с помощью ИИ,|,"Есть регистрация, конкретный номер не найден",|,"КТ, МРТ, Рентген",|,Компьютерное зрение,|,"Высокая точность семантической сегментации, быстрый анализ (>15 с), комплексное интеграционное решение",|,Используется,|,Облачная платформа,|,презентация: https://www.itmportal.ru/upload/iblock/63d/rjywvyr88834cl7es5z11cybz31cuajh/Sciberia.pdf ,|,,|,\https://sciberia.io/ru https://sciberia.ru/news/ ,Россия
Россия ,Анализ флюорограм ,|,Сервис для анализа цифровых флюорограмм,|,- (не найден) ,|,Флюорография,|,Компьютерное зрение,|,Автоматическое распознавание патологий легких ,|,Используется,|,Облачная платформа,|,научка: https://stm-journal.ru/ru/numbers/2023/4/1836/html ,|,,|,http://www.ftizisbiomed.ru/ ,Россия 
Россия,Doctor AIzimov,|,Анализирует снимки компьютерной томографии на предмет онкологической патологии,|,Свидетельство ЭЛ № ФС 77*** ,|,КТ грудной клетки ,|,Компьютерное зрение,|,"Высокая точность, диагностика узлов всего за 20 секунд ",|,Используется,|,"Частные клиники, государственные больницы",|,научка: https://practical-oncology.ru/articles/656.pdf ,|,,|,https://medrussia.org/25853-rossiyskie-uchyonie-2/ ,Россия 
Россия ,Oxygen Technologies,|,ИИ-система для анализа рентгенограмм органов грудной клетки,|,- (не найден) ,|,Рентген органов грудной клетки,|,Компьютерное зрение,|,Повышение точности и скорости анализа рентгенов,|,Используется,|,Облачная платформа,|,новость: https://i.moscow/company/projects/6573a1a5242c44779bc8b42391d297c5 ,|,,|,https://oxytech.io/ru/ ,Россия 
Россия ,DigiPax,|,PACS/RIS-система с использованием ИИ для анализа радиологических изображений  ,|,- (не найдена) ,|,Рентген,|,Компьютерное зрение,|,Интеграция PACS/RIS с анализом изображений,|,Используется,|,"Частные клиники, государственные больницы",|,презентация: https://www.itmportal.ru/dl/2023/09/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F-%D0%A0%D0%A2%D0%9A-%D0%A0%D0%B0%D0%B4%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F-DIGIPAX.pdf ,|,,|,http://digipax.ru/ ,Россия 
Россия,Z-Med,|,Анализ рентгенограмм и КТ на основе ИИ,|,?,|,"КТ, МРТ, Рентген",|,Компьютерное зрение,|,"Классификация заболеваний, сегментация поражений с подсчётом объёма и процента поражения, высокоточные алгоритмы, поддержка совместной работы врачей и исследователей, возможность анализа комплексных медицинских данных.",|,Используется,|,"Частные клиники, государственные больницы",|,новость: https://webiomed.ru/blog/obzor-rossiiskikh-sistem-iskusstvennogo-intellekta-dlia-zdravookhraneniia/ ,|,,|,https://zmed.z-union.ru/ ,Россия 
